 cookie=0x0, duration=17.209s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1076 actions=output:2
 cookie=0x0, duration=17.209s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1058 actions=output:2
 cookie=0x0, duration=17.209s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=7999 actions=output:2
 cookie=0x0, duration=17.210s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=10010 actions=output:2
 cookie=0x0, duration=17.211s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=6580 actions=output:2
 cookie=0x0, duration=17.214s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=17877 actions=output:2
 cookie=0x0, duration=17.291s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=720 actions=output:2
 cookie=0x0, duration=17.291s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=9 actions=output:2
 cookie=0x0, duration=17.291s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1074 actions=output:2
 cookie=0x0, duration=17.291s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=60443 actions=output:2
 cookie=0x0, duration=17.292s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=2525 actions=output:2
 cookie=0x0, duration=17.292s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=32780 actions=output:2
 cookie=0x0, duration=17.292s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=7025 actions=output:2
 cookie=0x0, duration=17.292s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=8290 actions=output:2
 cookie=0x0, duration=17.905s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=2920 actions=output:2
 cookie=0x0, duration=17.905s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=4242 actions=output:2
 cookie=0x0, duration=17.906s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1259 actions=output:2
